scent,scent
hyacinth,hy-a-cinth
reached,reached
window,win-dow
followed,fol-lowed
wherever,wher-ev-er
firmament,fir-ma-ment
life,life
never,nev-er
better,bet-ter
each,each
small,small
spotless,spot-less
cloud,cloud
wished,wished
letter,let-ter
remembered,re-mem-bered
promise,prom-ise
mild,mild
cramp,cramp
bill,bill
awaiting,a-wait-ing
stamp,stamp
saw,saw
three,three
faces,fac-es
sunday,sun-day
mother,moth-er
sister,sis-ter
niece,niece
same,same
kind,kind
brown,brown
scared,scared
brought,brought
him,him
peace,peace
sidewalk,side-walk
sparrows,spar-rows
peeping,peep-ing
whole,whole
house,house
smelled,smelled
flower,flow-er
drugstore,drug-store
said,said
hour,hour
home,home
tired,tired
label,la-bel
caution,cau-tion
warning,warn-ing
lip,lip
sink,sink
morning,morn-ing
insert,in-sert
constipation,con-sti-pa-tion
insomnia,in-som-ni-a
vivid,viv-id
increased,in-creased
urination,u-ri-na-tion
spinning,spin-ning
sensation,sen-sa-tion
also,al-so
sweats,sweats
strongly,strong-ly
suggested,sug-gest-ed
water,wa-ter
drunk,drunk
doses,dos-es
read,read
know,know
what,what
bedroom,bed-room
calm,calm
moonlight,moon-light
breeze,breeze
screen,screen
cooling,cool-ing
shivery,shiv-er-y
light,light
wall,wall
quicksilver,quick-sil-ver
pooling,pool-ing
just,just
before,be-fore
five,five
woke,woke
far,far
queasy,quea-sy
listening,lis-ten-ing
hard,hard
six,six
seven,sev-en
eight,eight
nine,nine
cried,cried
pill,pill
ten,ten
feeling,feel-ing
restless,rest-less
kill,kill
yes,yes
medication,med-i-ca-tion
yellow,yel-low
edged,edged
shady,shad-y
fascination,fas-ci-na-tion
why,why
supervisor,su-per-vi-sor
sickening,sick-en-ing
becoming,be-com-ing
wiser,wis-er
room,room
filled,filled
interest,in-ter-est
begun,be-gun
think,think
knives,knives
kitchen,kitch-en
bottles,bot-tles
under,un-der
switched,switched
stove,stove
stood,stood
shaving,shav-ing
mirror,mir-ror
belt,belt
wardrobe,ward-robe
thinking,think-ing
made,made
things,things
clearer,clear-er
even,e-ven
open,o-pen
continually,con-tin-u-al-ly
hinted,hint-ed
useless,use-less
piece,piece
shit,shit
everyone,eve-ry-one
knew,knew
failed,failed
drug,drug
telephone,tel-e-phone
rang,rang
ripped,ripped
plug,plug
poison,poi-son
door,door
creaked,creaked
cellar,cel-lar
lilted,lilt-ed
murmured,mur-mured
garden,gar-den
gate,gate
groaned,groaned
yawned,yawned
noise,noise
outside,out-side
lurked,lurked
cheap,cheap
cartoon,car-toon
sash,sash
locked,locked
checked,checked
afternoon,af-ter-noon
lowered,low-ered
blinds,blinds
world,world
longer,long-er
agent,a-gent
finger,fin-ger
pulled,pulled
slat,slat
set,set
above,a-bove
grimly,grim-ly
amusing,a-mus-ing
last,last
grim,grim
watch,watch
those,those
hunched,hunched
hurried,hur-ried
people,peo-ple
watching,watch-ing
loud,loud
fucking,fuck-ing
good,good
slumped,slumped
stool,stool
corner,cor-ner
bad,bad
dirty,dirt-y
pig,pig
laughed,laughed
exist,ex-ist
sometimes,some-times
sound,sound
oinked,oinked
hissed,hissed
everything,eve-ry-thing
pussy,puss-y
side,side
rug,rug
unable,un-a-ble
